ID,Duration,Location,Gender,Item,Trait_Type,Category,Pair,Char_Gender,Valence_Order,Question,FC_Answer,CR_Answer
1,1170,1,2,1,1,1,21,1,2,1,1,4
1,1170,1,2,2,1,1,31,1,2,2,1,5
1,1170,1,2,3,1,1,14,1,1,3,0,1
1,1170,1,2,4,1,1,21,0,1,1,1,4
1,1170,1,2,5,1,1,23,0,1,3,0,1
1,1170,1,2,6,1,1,42,0,2,2,1,4
1,1170,1,2,7,1,1,31,0,1,2,1,4
1,1170,1,2,8,1,1,23,0,2,3,1,1
1,1170,1,2,9,1,1,34,0,1,1,1,4
1,1170,1,2,10,1,1,14,1,2,3,1,1
1,1170,1,2,11,1,1,42,1,1,2,1,4
1,1170,1,2,12,1,1,34,1,2,1,1,3
1,1170,1,2,13,1,2,21,0,2,1,1,4
1,1170,1,2,14,1,2,31,0,2,2,1,4
1,1170,1,2,15,1,2,14,0,1,3,0,1
1,1170,1,2,16,1,2,21,1,1,1,1,4
1,1170,1,2,17,1,2,32,1,2,3,1,1
1,1170,1,2,18,1,2,42,1,2,2,1,4
1,1170,1,2,19,1,2,13,0,2,2,1,4
1,1170,1,2,20,1,2,23,0,2,3,1,1
1,1170,1,2,21,1,2,34,0,1,1,1,5
1,1170,1,2,22,1,2,14,1,2,3,1,1
1,1170,1,2,23,1,2,24,1,2,2,1,5
1,1170,1,2,24,1,2,34,1,2,1,1,4
1,1170,1,2,25,2,3,12,0,1,1,1,4
1,1170,1,2,26,2,3,13,0,1,2,1,4
1,1170,1,2,27,2,3,41,0,2,3,1,1
1,1170,1,2,28,2,3,12,1,2,1,0,4
1,1170,1,2,29,2,3,23,1,1,3,0,1
1,1170,1,2,30,2,3,24,1,1,2,1,4
1,1170,1,2,31,2,3,31,0,1,2,1,3
1,1170,1,2,32,2,3,32,0,1,3,0,1
1,1170,1,2,33,2,3,43,0,2,1,1,4
1,1170,1,2,34,2,3,41,1,1,3,0,1
1,1170,1,2,35,2,3,42,1,1,2,1,4
1,1170,1,2,36,2,3,34,1,2,1,1,4
1,1170,1,2,37,2,4,12,1,1,1,1,1
